Address.City,ID,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Name,Store.StoreDistrictID,TimeZone.TimeZoneCode,PhoneNumber
Oxford,2153,,2006-07-19T12:00:00,Oxford,340,CST,(256) 231-2900
Opelika,1499,,2005-07-20T12:00:00,Opelika,340,CST,(334) 705-0152
Carrollton,1073,,1997-07-23T12:00:00,Carrollton,336,EST,(770) 838-9221
Newnan,1223,2013-06-27T12:00:00,1999-10-06T12:00:00,Newnan,336,EST,(770) 502-0294
Columbus,1179,2004-10-17T12:00:00,1999-03-03T12:00:00,Columbus,340,EST,(706) 321-0831
Peachtree City,2129,2013-10-10T12:00:00,2006-07-19T12:00:00,Peachtree City,336,EST,(770) 282-2165
Montgomery,1825,2014-04-03T12:00:00,2003-10-08T12:00:00,Montgomery,340,CST,(334) 356-6265
Douglasville,1172,,1998-10-07T12:00:00,Douglasville,336,EST,(770) 947-5303
Prattville,2274,,2007-07-25T12:00:00,Prattville,340,CST,(334) 290-6000
Birmingham,1772,,2000-10-04T12:00:00,Birmingham 280 Corridor,340,CST,(205) 408-7687
Fayetteville,778,2007-10-18T12:00:00,1995-10-04T12:00:00,Fayetteville,336,EST,(770) 719-9766
Birmingham,1773,,2000-10-04T12:00:00,Trussville,340,CST,(205) 655-6950
Hiram,1400,,2002-03-06T12:00:00,Hiram,336,EST,(678) 567-0142
Alabaster,2276,,2007-07-25T12:00:00,Alabaster,340,CST,(205) 564-2608
East Point,1546,2012-06-21T12:00:00,2003-07-23T12:00:00,East Point,336,EST,(404) 267-0063
Homewood,2796,,2013-03-06T12:00:00,Homewood,340,CST,(205) 994-7531
Austell,1164,2004-08-08T12:00:00,1999-03-03T12:00:00,Austell,336,EST,(678) 945-4550
Birmingham,2503,,2009-10-07T12:00:00,Hoover West,340,CST,(205) 747-1654
Marietta,1165,2013-06-27T12:00:00,1998-10-07T12:00:00,West Marietta,334,EST,(770) 792-7933
Fultondale,2355,,2007-10-10T12:00:00,Fultondale,340,CST,(205) 453-6032
Acworth,2091,,2006-07-19T12:00:00,Acworth,334,EST,(678) 202-0996
Mcdonough,1461,,2002-07-24T12:00:00,McDonough,346,EST,(678) 583-2184
Atlanta,2137,2012-03-22T12:00:00,2007-10-10T12:00:00,Atlanta Midtown,336,EST,(678) 954-4265
Smyrna,373,2012-03-22T12:00:00,1989-04-26T12:00:00,Smyrna,334,EST,(770) 952-2241
Atlanta,1964,2012-03-22T12:00:00,2005-03-02T12:00:00,Atlanta Edgewood,336,EST,(404) 260-0200
Bessemer,2375,,2008-07-23T12:00:00,Bessemer,340,CST,(205) 565-3760
Kennesaw,981,2012-06-21T12:00:00,1995-07-19T12:00:00,Cobb,334,EST,(770) 425-6895
Atlanta,2171,2012-06-21T12:00:00,2006-10-04T12:00:00,Buckhead South,335,EST,(404) 720-1081
Cartersville,969,2017-03-30T12:00:00,1995-10-04T12:00:00,Cartersville,334,EST,(770) 387-9595
Atlanta,1197,2012-06-21T12:00:00,1999-07-21T12:00:00,Buckhead,335,EST,(404) 237-9494
Atlanta,1486,2013-03-21T12:00:00,2002-10-09T12:00:00,North Druid Hills,335,EST,(404) 267-0060
Sandy Springs,2333,2013-10-10T12:00:00,2008-10-08T12:00:00,Sandy Springs Prado,335,EST,(678) 704-8120
Marietta,2121,2012-03-22T12:00:00,2007-10-10T12:00:00,Marietta East,334,EST,(770) 240-0005
