Address.City,ID,Name,FaxNumber,BeginTime.MF,ThruTime.MF,IsOpen.Sat,IsOpen.Sun
Oxford,2153,Oxford,(256) 231-2910,08:00:00,22:00:00,TRUE,FALSE
Opelika,1499,Opelika,(334) 363-3235,08:00:00,22:00:00,FALSE,TRUE
Carrollton,1073,Carrollton,(678) 664-3234,08:00:00,22:00:00,TRUE,TRUE
Newnan,1223,Newnan,(678) 621-6321,08:00:00,22:00:00,TRUE,FALSE
Columbus,1179,Columbus,(706) 225-5604,08:00:00,23:00:00,TRUE,TRUE
Peachtree City,2129,Peachtree City,(678) 734-3839,08:00:00,22:00:00,TRUE,FALSE
Montgomery,1825,Montgomery,(334) 523-9794,08:00:00,22:00:00,TRUE,TRUE
Douglasville,1172,Douglasville,(770) 250-4101,08:00:00,22:00:00,FALSE,TRUE
Prattville,2274,Prattville,(334) 290-6010,08:00:00,22:00:00,TRUE,TRUE
Birmingham,1772,Birmingham 280 Corridor,(205) 578-5170,08:00:00,23:00:00,TRUE,TRUE
Fayetteville,778,Fayetteville,(678) 734-9930,08:00:00,22:00:00,TRUE,TRUE
Birmingham,1773,Trussville,(205) 661-8157,08:00:00,22:00:00,TRUE,FALSE
Hiram,1400,Hiram,(770) 250-4784,08:00:00,23:00:00,TRUE,TRUE
Alabaster,2276,Alabaster,(205) 564-2853,08:00:00,22:00:00,TRUE,TRUE
East Point,1546,East Point,(404) 720-5338,08:00:00,23:00:00,TRUE,TRUE
Homewood,2796,Homewood,(205) 994-7541,08:00:00,23:00:00,TRUE,FALSE
Austell,1164,Austell,(770) 250-4829,08:00:00,22:00:00,TRUE,FALSE
Birmingham,2503,Hoover West,(205) 747-1664,08:00:00,23:00:00,TRUE,FALSE
Marietta,1165,West Marietta,(770) 250-7030,08:00:00,22:00:00,TRUE,TRUE
Fultondale,2355,Fultondale,(205) 578-5030,08:00:00,22:00:00,TRUE,TRUE
Acworth,2091,Acworth,(770) 250-4971,08:00:00,22:00:00,TRUE,TRUE
Mcdonough,1461,McDonough,(678) 734-3914,08:00:00,23:00:00,TRUE,TRUE
Atlanta,2137,Atlanta Midtown,(678) 954-4275,08:00:00,23:00:00,FALSE,TRUE
Smyrna,373,Smyrna,(770) 250-7501,08:00:00,23:00:00,TRUE,FALSE
Atlanta,1964,Atlanta Edgewood,(404) 682-7559,07:00:00,23:00:00,TRUE,FALSE
Bessemer,2375,Bessemer,(205) 565-3770,08:00:00,22:00:00,TRUE,TRUE
Kennesaw,981,Cobb,(770) 250-7010,08:00:00,23:00:00,TRUE,TRUE
Atlanta,2171,Buckhead South,(404) 682-2140,08:00:00,23:00:00,TRUE,TRUE
Cartersville,969,Cartersville,(678) 719-3154,08:00:00,22:00:00,TRUE,TRUE
Atlanta,1197,Buckhead,(404) 720-7752,08:00:00,23:00:00,TRUE,TRUE
Atlanta,1486,North Druid Hills,(404) 720-7734,08:00:00,23:00:00,TRUE,FALSE
Sandy Springs,2333,Sandy Springs Prado,(678) 704-8130,08:00:00,23:00:00,TRUE,TRUE
Marietta,2121,Marietta East,(770) 308-5861,08:00:00,23:00:00,FALSE,TRUE
Woodstock,1780,Woodstock,(770) 250-4760,08:00:00,22:00:00,FALSE,TRUE
Marietta,1106,Cobb NE,(770) 250-4905,08:00:00,22:00:00,TRUE,TRUE
Atlanta,2036,Atlanta Perimeter,(470) 385-3179,08:00:00,23:00:00,TRUE,TRUE
Tucker,1390,Northlake,(470) 385-3876,08:00:00,23:00:00,TRUE,FALSE
Roswell,1761,Roswell,(470) 385-3922,08:00:00,22:00:00,TRUE,TRUE
Peachtree Corners,982,Peachtree Corners,(678) 514-7209,08:00:00,22:00:00,TRUE,TRUE
Conyers,2174,Conyers,(770) 761-1044,08:00:00,22:00:00,TRUE,TRUE
Alpharetta,970,Alpharetta,(678) 514-8028,08:00:00,23:00:00,TRUE,TRUE
Canton,2476,Canton,(678) 880-4321,08:00:00,22:00:00,TRUE,TRUE
Duluth,749,Riverwood,(678) 713-3608,08:00:00,22:00:00,TRUE,FALSE
Milton,2431,Milton,(770) 225-1790,08:00:00,22:00:00,TRUE,TRUE
Snellville,917,Snellville,(678) 514-8008,08:00:00,22:00:00,TRUE,TRUE
Suwanee,2056,John's Creek,(678) 208-3197,08:00:00,23:00:00,TRUE,TRUE
Lawrenceville,747,Lawrenceville,(678) 514-7177,08:00:00,22:00:00,TRUE,TRUE
Cumming,1394,Cumming,(678) 208-3242,08:00:00,22:00:00,TRUE,TRUE
Buford,1206,Buford,(470) 202-7396,08:00:00,23:00:00,TRUE,TRUE
Tuscaloosa,1787,Tuscaloosa,(205) 535-3724,08:00:00,00:00:00,TRUE,TRUE
Warner Robins,1380,Warner Robins,(478) 333-4037,08:00:00,22:00:00,TRUE,FALSE
Bethlehem,2493,Winder,(678) 975-3070,08:00:00,22:00:00,TRUE,TRUE
Flowery Branch,2387,Flowery Branch,(678) 866-4120,08:00:00,22:00:00,TRUE,TRUE
Huntsville,1367,Huntsville South,(256) 924-3013,08:00:00,23:00:00,TRUE,TRUE
Decatur,2084,Decatur,(256) 898-3775,08:00:00,22:00:00,TRUE,TRUE
Gainesville,796,Gainesville,(678) 928-3709,08:00:00,22:00:00,TRUE,FALSE
Dothan,1468,Dothan,(334) 340-1122,08:00:00,22:00:00,TRUE,TRUE
Huntsville,1346,Huntsville West,(256) 924-3023,08:00:00,23:00:00,TRUE,TRUE
Albany,734,Albany,(229) 352-9438,08:00:00,22:00:00,FALSE,TRUE
Madison,2816,Madison,,08:00:00,22:00:00,TRUE,TRUE
Chattanooga,1302,Chattanooga East,(423) 414-3377,08:00:00,23:00:00,TRUE,TRUE
Athens,1453,Athens,(706) 395-0407,08:00:00,23:00:00,TRUE,FALSE
Hixson,2053,Chattanooga North,(423) 414-3056,08:00:00,22:00:00,TRUE,TRUE
Cleveland,2367,Cleveland,(423) 790-3010,08:00:00,22:00:00,TRUE,TRUE
Florence,1322,Florence,(256) 712-3239,08:00:00,22:00:00,TRUE,TRUE
Anderson,1198,Anderson,(864) 932-4340,08:00:00,22:00:00,TRUE,TRUE
Tallahassee,1973,Tallahassee North,(850) 907-2703,08:00:00,22:00:00,TRUE,TRUE
Murfreesboro,1126,Murfreesboro,(615) 809-3836,08:00:00,22:00:00,TRUE,FALSE
Destin,2085,Destin,(850) 460-3185,08:00:00,22:00:00,TRUE,TRUE
Pace,2279,Pace,(850) 995-7830,08:00:00,22:00:00,TRUE,TRUE
Spring Hill,2362,Spring Hill,(931) 499-3001,08:00:00,22:00:00,TRUE,TRUE
Mary Esther,740,Mary Esther,(850) 659-3286,08:00:00,22:00:00,TRUE,TRUE
Evans,2027,Evans,(706) 993-9089,08:00:00,22:00:00,TRUE,TRUE
Panama City Beach,2208,Pier Park,(850) 636-6520,08:00:00,23:00:00,TRUE,TRUE
Tallahassee,844,Tallahassee,(850) 273-7217,08:00:00,23:00:00,TRUE,TRUE
Maryville,1250,Maryville,(865) 238-7098,08:00:00,22:00:00,TRUE,FALSE
Panama City,811,Panama City,(850) 532-6578,08:00:00,22:00:00,TRUE,TRUE
Augusta,1090,Augusta,(706) 619-3211,08:00:00,23:00:00,TRUE,TRUE
Pensacola,1273,Pensacola NE,(850) 466-4633,08:00:00,22:00:00,TRUE,TRUE
Franklin,1963,Franklin,(615) 807-7081,08:00:00,22:00:00,TRUE,TRUE
Smyrna,2360,Smyrna,(615) 768-3027,08:00:00,23:00:00,TRUE,FALSE
Valdosta,750,Valdosta,(229) 444-6893,08:00:00,22:00:00,TRUE,TRUE
