id,articles
1,"What does it mean to be successful? Perhaps, owning your own home, launching a million-dollar business, having the perfect relationship or simply just being happy with yourself. Success comes in many forms and could be simply achieved by setting goals and following through with them.
It is true that success takes effort and dedication. If you&rsquo;re looking to find success in your life, here are some specific habits most successful women follow on a daily basis. They are habits that can be picked up by anyone looking to achieve success in their personal and professional lives.

She educates herself

Education does not necessarily mean academic knowledge. It could be practical knowledge, asking questions and finding answers to them. Reading is a very essential element of success. It&rsquo;s simply taking a few hours of the day to read and expand knowledge.
A successful woman understands the importance of educating herself, in order to become well versed in different aspects of life.

She challenges herself

A successful woman continually pushes herself. She has very high standards so she moves out of her comfort zone and aims for the unachievable.
In the process of challenging herself, she becomes aware of qualities she didn&rsquo;t know she possessed and thereby becomes a better person. 

She makes her health a priority

Being healthy is a state of mind. It&rsquo;s not just about going to the gym or being mindful of her food intake. It encompasses the well being of her physical and mental body.
Being healthy ensures a productive day, so she eats right and adopts a healthy coping mechanism in order to stay stress-free and maintain her energy.

She stays socially connected

A successful woman understands that work isn&rsquo;t everything. She is able to balance her personal and professional life. She can step away from work and enjoy herself. She can hold a glass of wine and also maintain a meaningful conversation.
Being successful doesn&rsquo;t require her cutting herself from other people. Friends and family are equally important as they keep her on track in life.

She sets goals and follows through

She might not instantly know how to get to where she wants to be, but she definitely knows what she wants to be. Setting goals helps her achieve that. She puts into place an action plan in order to achieve those goals.
She creates goals around every aspect of her life from her career, through to her health and her personal relationships.
"
2,"Much has been made of Africa&rsquo;s unfavorable geography, including its distance from leading markets, the number of land-locked countries, low population density and unfavorable climatic conditions.
However the private sector and market driven interventions will definitely play a key role in the economic development of the African continent. The traditional private sector intervention on the other hand has played a significant role in the development in Africa especially where the business models allows for benefit sharing with other stakeholders.
The matter is, however, complicated when it relates to provision of social or public good. In most instances the citizens&rsquo; as well as the private sector has expected this to be provided by the government. Unfortunately, this has not been the case due to limited resources.
To bridge the gap, the emergence of social/mission-driven enterprises has been on the rise and have a huge potential in moving developing countries to development and at the same time solving some challenges being faced by such developing countries.
There has been a global movement towards impact investing which is giving rise to social enterprises aimed at solving the challenges that will have been resolved by government on market-based approach. Impact investing in Africa remains dormant and has the potential to resolve the African challenges especially in health, education, introduction of renewable energy systems among other factors and at the same time contribute to the continent&rsquo;s economic growth and respective development objectives. This will be going a long way in replacing official development assistance (ODA) which has predominately been the source of development finance in the continent.

Investors will play a larger role where it will be used to improve access to social services in Africa.
In the last decade, there has been a significant increase in the private financial flows to Africa as the traditional ODA declines. This will mean that there is need for the African Governments to provide the relevant space to attract even more investors and especially where those funds will be able to provide for the public goods in a market-based approach.
This will, in turn, be of help in addressing the socio-economic challenges by providing market-based solutions that address the priority areas such as health, education, water and energy supplies among others.
Now and in the future Africa, long dependent on aid, will instead rely on investment to fuel its growth. Rapid growth is expected, because of the rise of the middle class, stable governments, urbanization, and improved infrastructure.
We hoping 2019 will present a good year for the continent to encourage more social enterprises and mission driven investment with the aim of resolving some of the challenges that the continent is faced with in a more market-based way. This call innovations in various sectors such as technology, finance, agriculture, health etc be put in place.
"
3,"A few days after a Damaris Wambui Kamau and her son Dennis Ngaruiya rejected a presidential gift of a house new allegations have emerged. The house which sits on a plot of land in Nakuru county is said to have been procured bya well wisher who has since not been named.

The rift valley regionalcommissioner Chimwaga Mongo has come out with claims that the president did not promise the woman any house. He insisted that the only promise that was made was that of paying school fees for Ngaruiya which has been done without hitches. Last week Damaris wambui made headlines after rejecting the gift claiming that it was substandard and that it was not what the president had promised or rather it did not meet presidential standards. She further claimed that the house was not a new one and had been used by a disabled man who died recently.
The house which sits on a piece of land next to that of one of state house workers has elicited different reactions from Kenyans on social media.
Some Kenyans have termed the woman as ungrateful while others have applauded her for not accepting to settle for what they term as mediocrity. The house has now been handed over to what the regional commissioner termed as a more deserving Kenyan.

Mr. Macharia Gachie a 58 year old father of six is the new lucky occupant of the two bed roomed house. He was selected from three other deserving Kenyans whose names were fronted. This was done after what is said to have been &ldquo;orders from above&rdquo; to give the house to a more deserving Kenyan.
Mr Gachie who has three disabled kids thanked well wishers for the new house. The house and the land are estimated to have cost 1 million shillings.
Ms. Kamau on the other hand claimed that she had no regrets and that she had made her point and that the president will know the truth soon.
"
4,"



Just a few hours after their release on a shs 200,000 bond each, the seven suspects who were arrested on claim that they had duped Nairobi Businessman 10 million shillings are under investigation this time for fake currency related allegations. This comes after police impounded billions of shillings in fake currency stashed in boxes. The currency was impounded in a house linked to the suspects in Ruiru Kiambu county.
&ldquo;We&rsquo;ve managed to get Sh32.6 billion &mdash; $324million, 1 million sterling pounds, 840 million euros and one million Kenya shillings,&rdquo; Ruiru police boss James Ng&rsquo;etich said.
Ruiru police boss James Ng&rsquo;etich said the cash was stashed in iron boxes. The suspects were identified as Joseph Munyao and Nancy Muthoni.
The 26 pieces of fake gold were recovered from Muthoni&rsquo;s handbag. Munyao had a pistol for which he had a licence.
&ldquo;We&rsquo;ll subject it to further scrutiny with the relevant authorities to ascertain its authenticity,&rdquo; Ng&rsquo;etich said. &ldquo;These are people engaging in money laundering. They will assist us in our investigations so we can break the syndicate, which we believe is big.&rdquo;
In the earlier scandal the 7 were accused of impersonating the President and calling a Nairobi BuSiness man who heads the Sameer group. Mr Meralli who is the Sameer boss is said to have been duped into believing that the call was from President Kenyatta. The conman claimed that he needed the business man to pay 10million facilitation fee for a peace of land which statehouse would subsequently assist in purchasing.

A milimani court was told that Mr Meralli who was not in the country at the time directed the Sameer Finance Director Akif Hamid to process the transaction.
The key suspect Joseph Munyao has in the past come under police scrutiny to murder related cases. He has also been under Media focus especially after arriving for a past court case in a convoy of high-end guzzlers with over seven body guards.
The flying squad pounced on them in search for guns but did not find any. In Another instance he caused a stir at Kitui when he went to visit his fiancee with four choppers. The bent was attended by Emabakasi East legislator Babu Owino who has since distanced himself claiming that he was invited by a local MP. The extravagant lifestyle of the suspect is under scrutiny even as police continue with investigations into the recent allegations."
5,"IPOA is investigating the murder of four people on Tuesday night. Among the four was a lawyer. Following the murder of the advocate identified as Jeremiah Kinyua Meeme, The Law Society Of Kenya has written to the director of public prosecutions and the deputy inspector general of police demanding answers on the crime. They have asked that arrests and prosecutions be made.
The killing happened in Juja after confrontations between the four and the police, after which the police claimed the four were robbers who opened fire first. Police sprayed their car with 40 bullets and claim that they were 5 but one escaped. According to the police the five intended to rob Lexo petrol station in Juja.
It is also alleged that the one who escaped had an AK47 which prompted them to shoot the rest who it is also claimed had pistols. IPOA is said to be investigating the matter with an aim of unraveling the whole situation.
They have promised that if found guilty action will be taken against the officers.
The bodies were taken to city mortuary and autopsies conducted. One body is however yet to be claimed.
The family of the lawyer maintains that he was not a criminal while LSK president said that this was the greatest threat to the rule of law especially when defenders of the same law are under threat.
"
1436,"Former President Jerry John Rawlings has called for an urgent review of the Fourth Republican Constitution to remove the entrenched clauses that protect high-level political actors and embolden some of them to abuse their office and criminally profit from their positions during the June 4th address.  Delivering the keynote address at a parade, wreath-laying ceremony and durbar to climax the activities marking the 40th-anniversary of the June 4 uprising at Nungua on Tuesday, the architect of the uprising said there are many constitutional clauses that do not serve our interest and called for an urgent establishment of a constituent assembly to review them.  &ldquo;Over the years, the indemnity clauses have emboldened certain characters to abuse their offices and profit themselves. The Constitution of the Fourth Republic was created by us, for us and to serve us, and in light of the 25 years, there is an unqualified need to reform or rewrite our current constitution. An urgent constituent assembly ought to be established with the necessary powers to rewrite the constitution,&rdquo;  Flt Lt Rawlings said problematic clauses such as the transitional provisions and the indemnity clauses need to be reviewed to ensure that everyone is equal before the law to encourage transparency, accountability and responsible governance.  At the heavily-attended durbar, the Chairman of the Armed Forces Revolutionary Council (AFRC), Chairman of the Provisional National Defence Council (PNDC) and first President of the Fourth Republic said the key to Ghana&rsquo;s development is heightened self-discipline in all we do.  He said: &ldquo;Our current sense of self-discipline is at its lowest ebb. Citizens do not feel responsible enough to keep their homes and communities clean. Many of us who lament about flooding during the rainy season are very guilty of the indiscretions that lead to the deadly floods. We dump refuse indiscriminately and wonder why drains choke. Some actually see the rains as an opportunity to dump refuse, believing the rainwater will sweep them away. If we continue this level of lawlessness, we are bound to face more serious flood disasters.  &ldquo;Let us all do a thorough introspection and identify where we fall short because we all do fall short one way or the other,&rdquo; Flt Lt Rawlings urged.  Recounting circumstances surrounding June 4 1979 and December 31, 1981, the former President said the explosion of June 4 could have taken place on May 15 of the same year had the charge in the atmosphere been ignited anywhere before midnight that day.  In like manner, Flt Lt Rawlings said, had those who climbed the seat of power three months later learnt the lessons of June 4, 31st December 1981 could have been avoided.  He said right after the PNP government came into office, those in authority proceeded to devalue the essence of the uprising by luring AFRC members out of the country, forgetting that most of the genuine, unrewarded and unrecognised leaders were still on the ground.  The intention of the authorities the former president disclosed, was to intimidate, harass, arrest and persecute some of them. The motive of these actions was to re-terrorise our people back into subordination and submissiveness; in short, to re-govern the people with the fear factor.  &ldquo;Instead of the then government taking up the challenge to lead a nation that was pumped up and ready to continue to rectify the rot, of the past, to defy any obstacle and to solidify the unity and purposefulness of our nation, the reverse is what occurred. This heightened the fever for June 4th,&rdquo; the leader of the 31st December Revolution stated.  Former President Rawlings said humanity has always been defined by its freedom and justice. He said while humanity all over the world has faced revolts and revolutions resulting in public executions of the royal families in France and Russia for instance &ldquo;some of us still have difficulties learning about the basic fundamentals of freedom, justice and democracy in governance.  The former President did not spare Alhaji Yusif Ibrahim who at a recent book launch said he had forgiven the former for the demolition of his hotel in 1999. He said Alhaji Yusif was in no position to forgive anyone or anything stating that he would do it again and again and take along new gargantuan structures built on waterways.  God, Mr. Rawlings said had nothing to do with unlawful structures.  He described the allegation that he ordered the demolition because Alhaji Yusif was Sam Jonah&rsquo;s friend as laughable. He said Jonah had a bigger appetite than &ldquo;your little hotel&rdquo;.  The founder of the NDC entreated all Ghanaians to remember the discipline that characterised June 4th and replicate that everywhere.  He said, &ldquo;If we do not develop a national character for sustainable good governance, we would have failed this generation and especially generations yet to come. Is that the legacy we wish to bequeath the future?  Other speakers at the event where Alhaji Huudu Yahaya, Johnson Asiedu Nketia, Dr Zanetor Agyeman-Rawlings and Edem Agbana.  Earlier the former President had reviewed the parade and helped to light the perpetual flame in memory of the fallen heroes.

"
6,"David L. Poulson who served in Erie in North Pennsylvania as a priest has been deflected by the Vatican. He was among 300 priests from the state who has been accused of sex related crimes since 1947. Of the 300, only two were charged. The grand jury argued that the other cases were above the statute of limitations.
In October Poulson pleaded guilty to two charges of felony which includes corruption of minors and Endangering child welfare. In his plea, Poulson sought for laicization which is basically being removed from priesthood. The request was approved by pope Francis.
Poulson who had served the Catholic church for a period of 4 decades was sentenced to between 2.5 and 14 years in a Pennsylvania prison. He has now been cancelled from the clerical state and cannot conduct any priest related roles including administering of the holy communion."
7,"In what started as a campaign strategy to a promising positive paradigm shift towards elevating the digital standards among young kids joining primary school, the whole idea seems to have hit a dead end. It started out with the promise of each pupil joining class one receiving a laptop, however, in the initial stages of the roll out things started going south.
First it was the challenge of electricity connectivity, and then followed the issue of teachers not being ready, to finally rolling out tablets instead of the promised laptops.

In what looks like an entirely new plan, the ministry of education through its principal secretary Belio Kipsang has come out has come out to state that the government will build computer laboratories in each of the 25,000 public schools.
This will come as a substitution to the failed one pupil one laptop policy. Speaking during the presentation of budgetary proposals to the Parliamentary Education Committee, DR. Kipsang said that the new move will bring about ICT integration.
He also said that the construction of the laboratories was part of the initial plan but was intended to be the second phase."
8,"











The fight for positions in post-President Uhuru Kenyatta government has intensified, with politicians pushing for a referendum to expand the Executive. Pundits, politicians and civil society groups say the referendum push is part of the wider scheme for top politicians to remain relevant post-2022, and to have an influence in the next government.&ldquo;A nation of contradictions! We applaud plans to amend the Constitution to accommodate presidential election losers in the Executive but fight the appointment of other election losers to state corporations,&rdquo; former Mandera Senator Billow Kerrow said.&ldquo;Being penny wise and pound foolish, to say the least.&rdquo;Those who have already shown their interest for the country&rsquo;s top seat in the coming polls are Deputy president William Ruto, Nasa founder and ANC leader Musalia Mudavadi and Ford Kenya&rsquo;s Moses Wetang&rsquo;ula. Although opposition leader Raila Odinga has not publicly said he will be on the ballot, it is widely seen that we will still vie.Wiper leader Kalonzo Musyoka, who previously said he would not play second fiddle to anyone else after 2017 polls on Tuesday appeared to make an about-turn when he said he would take the position of Deputy Prime Minister if the constitutional changes go through, and Uhuru takes the position of Prime Minister.&ldquo;If by any chance Wiper, ANC, ODM, Jubilee and Ford-Kenya merge, and I find myself contesting for position of PM with my brother Uhuru, then I would rather step down and support his bid,"" Kalonzo said.International Centre for Policy and Conflict executive director Ndung&rsquo;u Wainaina said, &ldquo;They are amending the Constitution to create a formula for all them to be in government.&rdquo;And Kalonzo fell short of confirming that when he told Citizen TV that post-2022, &ldquo; you have to envision a situation where there will be an attempt to have a government of national unity, and in that government, I don&rsquo;t see a way where you can write off President Uhuru Kenyatta.He said he was preparing Kenyans for what might happen ahead.Uhuru&rsquo;s allies ignited the debate on the role of Uhuru after his two-term constitutional tenure, some saying he was too young to leave the government.&ldquo;Let us support the constitutional amendment so that we can have a Constitution that is accommodative,&rdquo; Cotu Secretary general Francis Atwoli said at a past Makadara Day event.Though many masquerade as presidential candidates or announce their bids in general elections it is a move meant to build politicians&rsquo; national profile as well as leverage their negotiation in political alliances expecting to form a new government.Behind the scenes, some politicians want to use the presidential race to negotiate for a stake in post-Uhuru era.&ldquo;It is an intricate of political game involving different players. Although some are real, others are balloons being thrown in air for distraction and do tests,&rdquo; Ndung&rsquo;u said.He said politicians fight to remain in government since it&rsquo;s the most lucrative and machinery for extracting personal wealth.&ldquo;Most of the richest persons in Kenya were either top politicians, top civil servants, bureaucrats and or to securocrats. Simply, the government is road to personal wealth without sweat,&rdquo; he said.






















"
9,"Much has been made of Africa&rsquo;s unfavorable geography, including its distance from leading markets, the number of land-locked countries, low population density and unfavorable climatic conditions.
However the private sector and market driven interventions will definitely play a key role in the economic development of the African continent. The traditional private sector intervention on the other hand has played a significant role in the development in Africa especially where the business models allows for benefit sharing with other stakeholders.
The matter is, however, complicated when it relates to provision of social or public good. In most instances the citizens&rsquo; as well as the private sector has expected this to be provided by the government. Unfortunately, this has not been the case due to limited resources.
To bridge the gap, the emergence of social/mission-driven enterprises has been on the rise and have a huge potential in moving developing countries to development and at the same time solving some challenges being faced by such developing countries.
There has been a global movement towards impact investing which is giving rise to social enterprises aimed at solving the challenges that will have been resolved by government on market-based approach. Impact investing in Africa remains dormant and has the potential to resolve the African challenges especially in health, education, introduction of renewable energy systems among other factors and at the same time contribute to the continent&rsquo;s economic growth and respective development objectives. This will be going a long way in replacing official development assistance (ODA) which has predominately been the source of development finance in the continent.

Investors will play a larger role where it will be used to improve access to social services in Africa.
In the last decade, there has been a significant increase in the private financial flows to Africa as the traditional ODA declines. This will mean that there is need for the African Governments to provide the relevant space to attract even more investors and especially where those funds will be able to provide for the public goods in a market-based approach.
This will, in turn, be of help in addressing the socio-economic challenges by providing market-based solutions that address the priority areas such as health, education, water and energy supplies among others.
Now and in the future Africa, long dependent on aid, will instead rely on investment to fuel its growth. Rapid growth is expected, because of the rise of the middle class, stable governments, urbanization, and improved infrastructure.
We hoping 2019 will present a good year for the continent to encourage more social enterprises and mission driven investment with the aim of resolving some of the challenges that the continent is faced with in a more market-based way. This call innovations in various sectors such as technology, finance, agriculture, health etc be put in place."
